network,scenario,method,n,mean_waiting_time_s_mean,mean_waiting_time_s_ci_low,mean_waiting_time_s_ci_high,mean_stopped_vehicles_mean,mean_stopped_vehicles_ci_low,mean_stopped_vehicles_ci_high,mean_speed_m_s_mean,mean_speed_m_s_ci_low,mean_speed_m_s_ci_high,throughput_vehicles_mean,throughput_vehicles_ci_low,throughput_vehicles_ci_high,teleports_mean,teleports_ci_low,teleports_ci_high,emergency_stops_mean,emergency_stops_ci_low,emergency_stops_ci_high,collisions_mean,collisions_ci_low,collisions_ci_high,switches_per_signal_hour_mean,switches_per_signal_hour_ci_low,switches_per_signal_hour_ci_high,llm_call_rate_mean,llm_call_rate_ci_low,llm_call_rate_ci_high,override_accept_rate_mean,override_accept_rate_ci_low,override_accept_rate_ci_high,candidate_application_rate_mean,candidate_application_rate_ci_low,candidate_application_rate_ci_high,fallback_rate_mean,fallback_rate_ci_low,fallback_rate_ci_high,wall_time_s_mean,wall_time_s_ci_low,wall_time_s_ci_high
cologne8,variable,ergs_v2,20,3.399513496128475,3.31265357528729,3.4889276772798343,16.035208333333333,15.642291666666665,16.445005208333335,6.911772862226103,6.864846892317112,6.956032691487878,2005.0,1997.45,2012.35,0.0,0.0,0.0,0.0,0.0,0.0,67.0,61.9,72.0,58.8125,58.46875,59.16875,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.819811895000747,21.16168883113787,22.47697354138305
cologne8,variable,fixed,20,6.128860882592634,6.065879843635591,6.1910897667327776,25.062083333333334,24.67229166666667,25.457500000000003,6.27318222572457,6.2348895407564235,6.307585047022706,2001.85,1994.25,2009.65,0.0,0.0,0.0,0.0,0.0,0.0,76.9,71.1,82.7,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.245918394991897,18.443646693485356,19.952865486863594
cologne8,variable,lightgpt_direct,20,8.173895497167793,7.949445933802824,8.403931720475288,23.043958333333332,22.133744791666665,23.935015625000005,6.200214250380243,6.138239722955809,6.261088065607816,1999.3,1991.5,2006.95,0.0,0.0,0.0,0.0,0.0,0.0,73.7,66.0,81.5,41.7125,41.46875,41.94375,1.0,1.0,1.0,0.23973958333333328,0.2358072916666666,0.2436197916666667,0.9935677083333333,0.9926822916666665,0.9944010416666667,0.006432291666666666,0.005598958333333333,0.007317708333333334,19.845775984984357,19.192725401486676,20.498727361611962
cologne8,variable,lightgpt_review,20,3.399513496128475,3.3111306258809456,3.491587526384209,16.035208333333333,15.646848958333333,16.445843749999995,6.911772862226103,6.863600911347775,6.956149730310113,2005.0,1997.44875,2012.5,0.0,0.0,0.0,0.0,0.0,0.0,67.0,62.0,71.9,58.8125,58.46875,59.1625,1.0,1.0,1.0,0.0,0.0,0.0,0.9673958333333333,0.9659895833333332,0.9689062500000001,0.03260416666666666,0.031093749999999996,0.03403645833333334,20.157195469987347,19.4875113483498,20.807537939378964
cologne8,variable,max_pressure,20,9.710301780557176,9.558453167560971,9.862933289149604,26.08104166666667,25.480208333333334,26.694171875000002,5.91325964096553,5.859884785312337,5.965955132801721,1999.5,1991.6,2007.0512499999998,0.0,0.0,0.0,0.0,0.0,0.0,83.5,75.0,92.3,47.125,46.76875,47.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.647102844988694,22.82590199797647,24.41564377361705
cologne8,variable,ppo_ensemble,20,3.399513496128475,3.3129005077725595,3.490116002830236,16.035208333333333,15.644369791666664,16.446875,6.911772862226103,6.864925192982154,6.956254293057876,2005.0,1997.35,2012.6,0.0,0.0,0.0,0.0,0.0,0.0,67.0,61.9975,71.8,58.8125,58.46875,59.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.277880504977656,19.407761104221574,21.2224809154871
moscow,high,ergs_no_calibration,20,56.95554111564917,52.872074349634076,60.629059528395594,445.4752083333333,409.78390625,480.8925625000001,4.037464476632563,3.7921366646340506,4.313969286548929,1310.35,1237.64875,1385.3024999999998,109.3,92.85,125.8,0.0,0.0,0.0,20.8,18.5,23.7,56.79999999999999,56.40000000000001,57.21500000000001,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,43.61030530498829,36.23601735387492,50.93274910258956
moscow,high,ergs_no_event,20,56.95554111564917,52.89923337755282,60.667828239364006,445.4752083333333,409.46441666666664,480.5135208333332,4.037464476632563,3.792771355389068,4.305361736316041,1310.35,1238.0,1385.1012499999997,109.3,93.09875,125.7,0.0,0.0,0.0,20.8,18.5,23.7,56.79999999999999,56.404999999999994,57.205124999999995,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,130.1777136849938,105.29834092911987,156.50291238100513
moscow,high,ergs_no_guard,20,56.95554111564917,52.92147777992837,60.59616193685405,445.4752083333333,408.66565625000004,480.5655572916666,4.037464476632563,3.7906688163092874,4.307536869500999,1310.35,1239.79875,1384.35,109.3,93.05,125.65,0.0,0.0,0.0,20.8,18.5,23.7,56.79999999999999,56.39000000000001,57.21,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,41.70545032499358,34.80639114186764,48.79498912172814
moscow,high,ergs_no_hysteresis,20,56.95554111564917,52.79808264054431,60.67559311323592,445.4752083333333,409.3108125,480.29018749999983,4.037464476632563,3.791387479815732,4.312942181452774,1310.35,1238.44875,1384.25,109.3,93.15,125.7,0.0,0.0,0.0,20.8,18.5,23.7,56.79999999999999,56.4,57.209999999999994,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,43.411387504992305,36.21815872924286,50.65274630073093
moscow,high,ergs_v2,20,56.95554111564917,52.806619964054065,60.676402837990636,445.4752083333333,409.6878385416667,480.54020312499995,4.037464476632563,3.788421219068746,4.312127085472741,1310.35,1238.64875,1385.15,109.3,92.8,125.5,0.0,0.0,0.0,20.8,18.5,23.7,56.79999999999999,56.39000000000001,57.21,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,43.421527265012266,36.844949216649404,49.99557503476928
moscow,high,fixed,20,53.528621901568954,49.58295025180427,57.4494006739835,403.6408333333333,368.77809375000004,438.63515625,4.266793250707772,4.025850035162201,4.516529709457195,1408.6,1330.85,1485.3,94.9,82.0,109.25,0.0,0.0,0.0,21.6,18.5,25.0,159.0,159.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.801912080001784,36.10801042499865,47.17514162925057
moscow,high,lightgpt_direct,20,54.847160391747515,50.94910382701644,58.275178222033226,413.64187499999997,377.52731250000005,448.458359375,4.186651549334295,3.934714771694745,4.4835590622410075,1405.25,1331.0987499999999,1488.0024999999998,95.55,83.8,106.1,0.0,0.0,0.0,25.1,22.7,27.4,54.295,53.44499999999999,55.11,1.0,1.0,1.0,0.18002083333333335,0.17293750000000002,0.18702083333333333,0.9176666666666666,0.9088958333333332,0.9266046875,0.08233333333333334,0.07349947916666665,0.0911875,42.27903434001492,35.789833255001135,48.68723527216294
moscow,high,lightgpt_review,20,56.95554111564917,52.930387386070194,60.66433101244225,445.4752083333333,409.08104166666664,480.5339479166667,4.037464476632563,3.7924385394419895,4.313529099856005,1310.35,1239.15,1384.8,109.3,93.35,125.6,0.0,0.0,0.0,20.8,18.5,23.7,56.79999999999999,56.395,57.210000000000015,1.0,1.0,1.0,0.0,0.0,0.0,0.9315208333333335,0.9243119791666667,0.9390208333333334,0.06847916666666666,0.06100000000000001,0.07597916666666667,43.52899656501249,36.944549916141405,50.20019963414088
moscow,high,max_pressure,20,52.97864457910184,49.24305755683618,56.74991761499689,410.4322916666667,375.54171875000003,445.2247135416666,4.10342852981328,3.893594531966049,4.329772529780592,1411.35,1336.25,1489.75,92.05,78.25,106.5,0.0,0.0,0.0,27.2,24.6,29.9,50.589999999999996,50.135000000000005,51.010000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.87877751000342,39.65771901851112,53.69613998386746
moscow,high,ppo_ensemble,20,56.95554111564917,52.88714768559864,60.66932157664721,445.4752083333333,408.84766666666667,479.98668749999996,4.037464476632563,3.7932327946742146,4.309109855069052,1310.35,1236.99875,1384.05,109.3,93.45,125.95,0.0,0.0,0.0,20.8,18.5,23.7,56.79999999999999,56.39,57.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.850794684985885,36.10361694008345,49.634090290861494
moscow,low,ergs_no_calibration,20,7.515372316638777,6.880405445429975,8.28739025308699,10.938125,10.485203124999998,11.448958333333332,10.709523707302832,10.604277333219155,10.799988321829947,644.15,641.9,646.2,1.2,0.5,2.0,0.0,0.0,0.0,2.2,1.4,3.0,39.345000000000006,39.175,39.52,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,32.54498340500868,29.004282787261765,36.03042760511132
moscow,low,ergs_no_event,20,7.515372316638777,6.882949863286231,8.279493516423429,10.938125,10.484374999999998,11.448338541666667,10.709523707302832,10.607519085325473,10.800465609756651,644.15,641.95,646.1512499999999,1.2,0.5,2.05,0.0,0.0,0.0,2.2,1.4,3.1,39.345000000000006,39.17000000000001,39.52,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,146.14417940000422,124.506449173375,170.3593192605108
