network,scenario,seed,method,mean_active_vehicles,mean_stopped_vehicles,mean_speed_m_s,mean_waiting_time_s,throughput_vehicles,departed_vehicles,teleports,emergency_stops,collisions,switches_per_signal_hour,simulation_steps,signals,wall_time_s,controller_decisions,llm_call_rate,override_accept_rate,candidate_application_rate,fallback_rate,budget_block_rate,mean_calibrated_lcb_gain,mean_model_uncertainty,mean_llm_confidence
cologne8,high,1009,ergs_no_guard,102.13333333333334,29.341666666666665,6.083357635373249,3.853214552905698,3003.0,3087.0,0.0,0.0,110.0,67.125,3600.0,8.0,21.04554580000695,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7270833333333333,0.0,0.0,0.9978475780063738
cologne8,high,1009,ergs_no_calibration,102.13333333333334,29.341666666666665,6.083357635373249,3.853214552905698,3003.0,3087.0,0.0,0.0,110.0,67.125,3600.0,8.0,21.694539400050417,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7270833333333333,0.0,0.0,0.9978475780063738
cologne8,high,1009,ergs_no_hysteresis,102.13333333333334,29.341666666666665,6.083357635373249,3.853214552905698,3003.0,3087.0,0.0,0.0,110.0,67.125,3600.0,8.0,21.149169099982828,1920.0,0.020833333333333332,0.0,0.0,1.0,0.6994791666666667,-0.4420639026070832,0.0,0.9978475780063738
cologne8,high,1009,ergs_v2,102.13333333333334,29.341666666666665,6.083357635373249,3.853214552905698,3003.0,3087.0,0.0,0.0,110.0,67.125,3600.0,8.0,21.507712400052696,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7270833333333333,-0.4420639026070832,0.0,0.9978475780063738
cologne8,high,1013,fixed,112.72083333333333,42.229166666666664,5.49466012419836,6.942163416383045,2951.0,3035.0,0.0,0.0,160.0,144.0,3600.0,8.0,21.590777299948968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1013,max_pressure,113.47916666666667,42.99583333333333,5.3192264496006265,10.78231446338095,2956.0,3035.0,0.0,0.0,130.0,52.0,3600.0,8.0,25.32450039999094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1013,ppo_ensemble,98.04166666666667,27.7375,6.090755081218721,3.8045135344749026,2963.0,3035.0,0.0,0.0,118.0,66.875,3600.0,8.0,21.922913099988364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1013,lightgpt_direct,115.3625,45.233333333333334,5.269440653075234,11.220853267926238,2940.0,3035.0,0.0,0.0,146.0,44.5,3600.0,8.0,21.97204389993567,1920.0,1.0,0.3,0.9838541666666667,0.016145833333333335,0.0,0.0,0.0,0.5866869314954662
cologne8,high,1013,lightgpt_review,98.04166666666667,27.7375,6.090755081218721,3.8045135344749026,2963.0,3035.0,0.0,0.0,118.0,66.875,3600.0,8.0,20.42458839993924,1920.0,1.0,0.0,0.9348958333333334,0.06510416666666667,0.0,0.0,0.0,0.8892324134809922
cologne8,high,1013,ergs_no_event,98.04166666666667,27.7375,6.090755081218721,3.8045135344749026,2963.0,3035.0,0.0,0.0,118.0,66.875,3600.0,8.0,102.80208020005375,1920.0,1.0,0.0,0.0,1.0,0.0,-0.42256768634353065,0.0,0.8892324134809922
