scenario,method,metric,mean,std,ci95_low,ci95_high,n
medium,ergs,throughput_vehicles,2309.8,33.41706151055176,2283.4,2336.2,5
medium,ergs_no_guard,emergency_stops,0.0,0.0,0.0,0.0,5
medium,ergs_no_guard,mean_speed_m_s,8.838247641582772,0.4819599622129109,8.455879528035037,9.220615755130506,5
medium,ergs_no_guard,mean_stopped_vehicles,46.69666666666667,7.662924660457774,40.73555555555555,52.65777777777778,5
medium,ergs_no_guard,mean_waiting_time_s,14.656099186206575,4.067079061573046,11.49912646066271,17.813071911750438,5
medium,ergs_no_guard,teleports,10.4,8.35463942968217,4.0,16.8,5
medium,ergs_no_guard,throughput_vehicles,2309.8,33.41706151055176,2283.4,2336.2,5
medium,ergs_no_hysteresis,emergency_stops,0.0,0.0,0.0,0.0,5
medium,ergs_no_hysteresis,mean_speed_m_s,8.838247641582772,0.4819599622129109,8.455879528035037,9.220615755130506,5
medium,ergs_no_hysteresis,mean_stopped_vehicles,46.69666666666667,7.662924660457774,40.73555555555555,52.65777777777778,5
medium,ergs_no_hysteresis,mean_waiting_time_s,14.656099186206575,4.067079061573046,11.49912646066271,17.813071911750438,5
medium,ergs_no_hysteresis,teleports,10.4,8.35463942968217,4.0,16.8,5
medium,ergs_no_hysteresis,throughput_vehicles,2309.8,33.41706151055176,2283.4,2336.2,5
medium,ergs_no_trigger,emergency_stops,0.0,0.0,0.0,0.0,5
medium,ergs_no_trigger,mean_speed_m_s,9.469730484527474,0.6491728304228501,8.99209793452217,9.969911781904093,5
medium,ergs_no_trigger,mean_stopped_vehicles,38.157222222222224,8.549213829280763,31.506111111111114,44.47666666666667,5
medium,ergs_no_trigger,mean_waiting_time_s,13.62246877581758,5.17560071993454,9.309197115217462,17.46228333138496,5
medium,ergs_no_trigger,teleports,13.4,8.384509526501834,6.8,19.4,5
medium,ergs_no_trigger,throughput_vehicles,2331.8,30.078231330980884,2306.6,2353.6,5
medium,fixed,emergency_stops,0.0,0.0,0.0,0.0,5
medium,fixed,mean_speed_m_s,9.652531124127178,0.501679089440499,9.377448847827253,10.11002224341488,5
medium,fixed,mean_stopped_vehicles,35.51833333333333,6.121194522031073,30.06611111111111,39.03722222222222,5
medium,fixed,mean_waiting_time_s,11.913892416290194,4.164035004774039,8.114177657100798,14.413528814048428,5
medium,fixed,teleports,13.2,5.263078946776307,8.4,16.2,5
medium,fixed,throughput_vehicles,2347.4,22.733235581412515,2329.6,2365.2,5
medium,max_pressure,emergency_stops,0.0,0.0,0.0,0.0,5
medium,max_pressure,mean_speed_m_s,9.929096350320137,0.611080466166405,9.454299608520412,10.386705813274839,5
medium,max_pressure,mean_stopped_vehicles,31.874444444444443,7.499778648996956,26.226111111111113,37.70833333333333,5
medium,max_pressure,mean_waiting_time_s,11.311656167904625,4.700942633806091,7.728488948061108,14.894823387748142,5
