name,fold,overall_improvement,h4_improvement,worst_condition_improvement,worst_network_improvement
current_ridge_alpha=0,2,0.19415658084766185,-0.029256147288415857,0.08226922843226425,0.17407849145383747
current_ridge_alpha=0,3,0.12969909282158265,-0.048657297460176,-0.013081968406014832,0.09542843875055629
current_ridge_alpha=0,4,0.14993822015843183,-0.020632631856995376,-0.007233309079977657,0.1173969179558515
history_ridge_alpha=0,0,0.035752870616393984,-0.4260414266533943,-1.5793809988133658,-0.013847356964139301
history_ridge_alpha=0,1,0.12412973887603418,-0.07441419032026908,-1.8970982945678059,0.10926631887155658
history_ridge_alpha=0,2,-0.055481008858268455,-0.7268303876474262,-1.9305001390913015,-0.1612835677768405
history_ridge_alpha=0,3,0.017906862198237894,-0.46134180119659707,-0.5569610791249342,-0.0395214911113293
history_ridge_alpha=0,4,-0.10410003004687907,-0.2743535187898103,-2.246232653413379,-0.10635135969879905
current_ridge_alpha=0.01,0,0.194225854891369,-0.016859215430623964,-0.2578394248887965,0.16711762682939613
current_ridge_alpha=0.01,1,0.21960631693864308,0.03834273752209261,0.20573605081186508,0.19069993946950015
current_ridge_alpha=0.01,2,0.1935899636601025,-0.03002737589876192,0.08257616184250127,0.17357884387160816
current_ridge_alpha=0.01,3,0.12992069697503472,-0.047929731309785506,-0.013594117687201646,0.09609486525028232
current_ridge_alpha=0.01,4,0.15454333363312212,-0.01901176303867258,0.010142327729494194,0.12055669935215163
history_ridge_alpha=0.01,0,0.09077937316181894,-0.3631845650514105,-1.2736103947640065,0.07080446199311552
history_ridge_alpha=0.01,1,0.1774340967649517,-0.06653721297188309,-1.4495278690056672,0.15478857553467562
history_ridge_alpha=0.01,2,0.08506357794235708,-0.22811599560482954,-1.1354362350770555,0.06900375890381405
history_ridge_alpha=0.01,3,0.03807138836791013,-0.4305674869741303,-0.49547523811224337,-0.015908310501739686
history_ridge_alpha=0.01,4,-0.01572242448972383,-0.19741758505142748,-1.405403472814983,-0.018516749058510085
current_ridge_alpha=0.1,0,0.1942393811766997,-0.016939280007046253,-0.25597296103075706,0.16713613497558844
current_ridge_alpha=0.1,1,0.2196634746466356,0.03846656462320386,0.20579624010813036,0.19071195449275502
current_ridge_alpha=0.1,2,0.19363793778185412,-0.030014048339966903,0.08280186657568889,0.17356239194079381
current_ridge_alpha=0.1,3,0.12998472767781755,-0.04785943604879073,-0.01289323627154415,0.09623499363138732
current_ridge_alpha=0.1,4,0.15463372787157548,-0.018701049230652078,0.0109692664998855,0.1206857707534097
history_ridge_alpha=0.1,0,0.09709266174160969,-0.35944871085653096,-1.2073399309377812,0.07369814823620602
history_ridge_alpha=0.1,1,0.18244461942336299,-0.060513647377624435,-1.4052489268683432,0.16237208656936863
history_ridge_alpha=0.1,2,0.09238898440209953,-0.22287187797473318,-1.08635384131366,0.0753001791667467
history_ridge_alpha=0.1,3,0.04400389697266449,-0.41919363270490506,-0.47687639904376544,-0.013335692949116185
history_ridge_alpha=0.1,4,-0.006554480015956932,-0.1854768963105371,-1.3739374406148261,-0.012741547498096972
current_ridge_alpha=1,0,0.1938924195820323,-0.017435378036620097,-0.2508060820646929,0.16719270168610956
current_ridge_alpha=1,1,0.21954227421509354,0.03885690531817887,0.20608438117028638,0.19056878159298518
current_ridge_alpha=1,2,0.19384169165721177,-0.029817071354886426,0.08412473018490685,0.173298418797883
current_ridge_alpha=1,3,0.1301739303725391,-0.04754398466377263,-0.011057151205871474,0.09707173234218913
current_ridge_alpha=1,4,0.1550148019630978,-0.01696288055640327,0.013911930482210066,0.12147860046361847
history_ridge_alpha=1,0,0.11667899698987783,-0.3397396049078134,-1.0472385225200669,0.08453760693227752
history_ridge_alpha=1,1,0.20232068214419052,-0.04130713496591443,-1.1808845336722444,0.1907748278661654
history_ridge_alpha=1,2,0.1197379699586808,-0.19389274705578075,-0.8710415319357725,0.104411724998701
history_ridge_alpha=1,3,0.06303767980578134,-0.38424428323869964,-0.43080469933947985,0.0020626165542103614
history_ridge_alpha=1,4,0.026522404624478857,-0.15184992862144409,-1.1844829271089505,0.010664913103855977
current_ridge_alpha=10,0,0.19277321800689162,-0.016996357349050806,-0.2525129236493189,0.16700772218534077
current_ridge_alpha=10,1,0.21806589174628177,0.037952431448965984,0.2047352034952662,0.18962286074132384
current_ridge_alpha=10,2,0.19446437436845465,-0.026504768725231997,0.085271943792256,0.17438831140347388
current_ridge_alpha=10,3,0.1311844936155253,-0.04630484369352161,-0.011232433104863437,0.09923136768871754
current_ridge_alpha=10,4,0.15625596270099606,-0.01423475981303679,0.026003099957927378,0.12372923267742919
history_ridge_alpha=10,0,0.15850925714447794,-0.2693086804924638,-0.7902913854247986,0.12317260343555259
history_ridge_alpha=10,1,0.24620364191931587,0.027164300107490713,-0.5686081542376464,0.24136706508080397
history_ridge_alpha=10,2,0.16840315194456057,-0.12789803671340105,-0.5144912968540472,0.1611494592520325
history_ridge_alpha=10,3,0.10880289755491124,-0.285250452568399,-0.28055615513390086,0.05334826391186842
history_ridge_alpha=10,4,0.0886321363860626,-0.09088213704217751,-0.6551935383058409,0.06359262078249683
current_ridge_alpha=100,0,0.19575961802748743,-0.007742914724977679,-0.21038516847428368,0.1660944093698764
current_ridge_alpha=100,1,0.21129157509690422,0.03259316535162138,0.19706592254503763,0.1826870035176179
current_ridge_alpha=100,2,0.19296348977746525,-0.012549467514986423,0.07934821395945801,0.18537916673082244
current_ridge_alpha=100,3,0.14026332820027154,-0.035641554737433356,0.0102540247736852,0.10463817656418639
current_ridge_alpha=100,4,0.16259580938539275,-0.0083468776997353,0.05002358170736365,0.12858716065229603
history_ridge_alpha=100,0,0.21595025042871863,-0.12282774133009577,-0.3994666327560603,0.17544736120581705
history_ridge_alpha=100,1,0.2692280613134508,0.0802368500965186,0.020534430201919474,0.25397592699917526
history_ridge_alpha=100,2,0.20578446276068574,-0.0537807908142649,-0.20610078860997993,0.20408377263202282
history_ridge_alpha=100,3,0.1720925544510986,-0.13464351940024444,0.013960010458414995,0.12130327334320368
history_ridge_alpha=100,4,0.1441746270283406,-0.03924670882689596,-0.1916157161984049,0.11479859105226708
