file,rung,candidate_id,recipe_id,status,error,model_seed,parameter_count,encoder,paired_head,width,depth,dropout,activation,action_dim,max_actions,overall_improvement,h4_improvement,overall_nrmse,h4_nrmse,worst_condition_improvement,worst_network_improvement,groupcv_folds,action_permutation_degradation,effective_rank_fraction,equal_action_max_abs,swap_antisymmetry_max_abs,peak_vram_mib,p95_batch1_ms,wall_seconds,train_rows,tune_rows,n_train_clusters,n_folds_recorded,model_sha256,corr_mcar,corr_burst,corr_spatial,corr_mnar,corr_min,corr_mean,cond_demand_shock,cond_emergency_vehicle,cond_lane_closure,cond_normal,cond_packet_loss,cond_sensor_delay_noise,net_cologne8,net_moscow
R1_m-393f58cc75db.json,R1,m-393f58cc75db,r-05cbd60ed1,complete,,88001,29058,transformer,shared_branch,32,2,0.0,gelu,8,2,0.1090742939541212,-0.00250945427996927,0.9438686132908307,1.0012337126666557,-0.027749026714776637,0.06592442967099033,5,0.23169309530151966,0.12824898958206177,0.0,0.0,90.0,14.026040025055405,5.277071999851614,2400,600,50,5,a242c27b3a7a11146c1536a93db22ad8c151a29618185324dd7c90b93b5ffff7,-0.025834163605396254,-0.027475963850111418,-0.01734617078366707,-0.024582127402130727,-0.027475963850111418,-0.023809606410326367,0.11733770670674318,0.13276054186380182,0.10156144140033556,0.1407008033564348,0.09643251571093854,0.022255145731608007,0.08497248109291118,0.15032218630718228
R1_m-39a8d671864f.json,R1,m-39a8d671864f,r-05cbd60ed1,complete,,88001,29058,transformer,shared_branch,32,2,0.1,gelu,8,2,0.10664155716027186,-0.0017077817987018796,0.9451545069455476,1.0008353235387648,-0.034312235247954126,0.06251008709628003,5,0.22562571979484197,0.12817998230457306,0.0,0.0,90.0,13.22080489480868,3.996083700330928,2400,600,50,5,e8f229835b05d2c2104a158046c62a10c6516c7af00b285f81547f43d176e1ec,-0.02389319890526509,-0.022948222265104734,-0.015623363547184299,-0.022442174940702442,-0.02389319890526509,-0.02122673991456414,0.11384866088400394,0.13091556569038088,0.09963953713564395,0.13727053726863458,0.09582869100271543,0.017831132247078375,0.08235504999160795,0.1481889378133062
R1_m-40baf05fcce1.json,R1,m-40baf05fcce1,r-05cbd60ed1,complete,,88001,160450,gru,direct,96,2,0.1,silu,8,2,0.12373889261181911,-0.016090377901765218,0.9358637795677718,1.0079641976957698,-0.2897774202341754,0.041852903572379696,5,0.32422259020696376,0.08681845664978027,0.0503033846616745,0.07484307885169983,90.0,14.382120058871802,4.402215600013733,2400,600,50,5,720409d195c21d6b6801729ac7c6a325ebc6f27e4416281386ecffc5836f98da,-0.041966154397896416,-0.0378636935489185,-0.0429147450416707,-0.04336182377503062,-0.04336182377503062,-0.04152660419087906,0.16704689358842403,0.1714865719516382,0.10674270699664164,0.1659777708631585,0.0942055426364757,-0.10502457822140474,0.08980143302429697,0.17970117529880134
R1_m-4170eff5a849.json,R1,m-4170eff5a849,r-05cbd60ed1,complete,,88001,66530,transformer,direct,64,1,0.0,silu,8,2,0.1270055832670385,-0.014774968997152627,0.9341307221769236,1.007319168114132,-0.15862104305419567,0.0552414664427876,5,0.29444464837661466,0.12309345602989197,0.049642618745565414,0.0665663331747055,90.0,11.4361900719814,4.413687500171363,2400,600,50,5,9e547618508c32d332d8591ac6c6244a535507e7bb5f5b9d481ba9c905435a2f,-0.04247107232222547,-0.04342038625568545,-0.04470898898965481,-0.03999075472232705,-0.04470898898965481,-0.04264780057247319,0.1590749114906274,0.16466795844021495,0.11482773923197401,0.16719084499456044,0.10194401809080463,-0.0548709590780815,0.09791189425912365,0.17520070984120953
R1_m-45998a000855.json,R1,m-45998a000855,r-05cbd60ed1,complete,,88001,236098,transformer,direct,96,2,0.0,gelu,8,2,0.13487408251865318,-0.018107955117656883,0.9299310488087791,1.0089771897791648,-0.1983275540012217,0.06755044042574176,5,0.2934729642223649,0.07488984614610672,0.06348872184753418,0.1092848926782608,98.0,14.002505026292054,4.80611989996396,2400,600,50,5,2fc696e10e3fc1ce0aa4b12b2e1160ae751bd62c01d6d83e87e45a9e743c1744,-0.040881699618092515,-0.03930436397964643,-0.032745467972059794,-0.047600082193215876,-0.047600082193215876,-0.04013290344075365,0.17588384941174037,0.17573185366489538,0.120103673353369,0.17353636594561647,0.10481536401014224,-0.06024904088739245,0.10107546031945347,0.18979873178433
R1_m-4850dbb21590.json,R1,m-4850dbb21590,r-05cbd60ed1,complete,,88001,76642,tcn,direct,96,1,0.1,gelu,8,2,0.12500259796550797,-0.01980659140378276,0.9352267323626821,1.009794049648482,-0.2196326277911278,0.0537402360102589,5,0.3011910246210578,0.11386837810277939,0.07434837520122528,0.123238705098629,90.0,10.979960020631548,3.4433666996192187,2400,600,50,5,8ea9a4c0394792c6a5398c13408069fed1948ce810d96e477194f8d240dfedd0,-0.04515568546834037,-0.04530593992758569,-0.052422260414446864,-0.051419176419323254,-0.052422260414446864,-0.048575765557424044,0.1729043062135783,0.16878222247900893,0.10902273832105565,0.16675793119356824,0.08326790323085909,-0.0779831291813902,0.0903815510266784,0.18244829776163812
R1_m-49b072af5e16.json,R1,m-49b072af5e16,r-05cbd60ed1,complete,,88001,107746,transformer,antisymmetric,64,2,0.1,gelu,8,2,0.12207794907253806,-0.004831997400003463,0.9368825304950329,1.0023844362836427,-0.10823920623340677,0.05930176624437067,5,0.302793673315882,0.1009557768702507,0.0,0.0,94.0,14.489109930582341,4.224158999975771,2400,600,50,5,378f98008347e054122c580b2f8a030181535c92f9c6c10eabf8271f099ec0c4,-0.03075968539387186,-0.0283574579411352,-0.03050091012361822,-0.030864204413007412,-0.030864204413007412,-0.030120564467908173,0.1367867884738981,0.1585268312498937,0.10805867694022364,0.15527897189884074,0.11103607017210841,-0.014427365167989281,0.09296246651985876,0.17069719255684213
R1_m-573aa9a5f026.json,R1,m-573aa9a5f026,r-05cbd60ed1,complete,,88001,142786,transformer,direct,96,1,0.1,gelu,8,2,0.12915153955380498,-0.015736998708799875,0.9330141487816593,1.0078003556727952,-0.2672018752776262,0.0567406327805442,5,0.29571948887175803,0.08385588973760605,0.05652176961302757,0.09560444205999374,94.0,11.305564956273884,3.934153599664569,2400,600,50,5,27bdd5d3b0ea53c3cc9e860bfd164ef0074422ccf0a8f62d8f9d361a8d304882,-0.04142159605872253,-0.04368773296761885,-0.041820241850687445,-0.04602845319187154,-0.04602845319187154,-0.04323950601722509,0.16597814687718468,0.17973602312817555,0.11263560308578584,0.17072999365425356,0.10007734148154082,-0.08390324555092114,0.09641901971325972,0.1830271770534721
R1_m-5fc94eb7da8d.json,R1,m-5fc94eb7da8d,r-05cbd60ed1,complete,,88001,29314,transformer,antisymmetric,32,2,0.1,gelu,8,2,0.0947288731129063,-0.0009632367016128241,0.9514288666434325,1.000470447254021,-0.007567085046838118,0.04959247409974454,5,0.1652266752502553,0.17906908690929413,0.0,0.0,90.0,13.886430044658479,4.544510900042951,2400,600,50,5,a216c217ad742597ec340342f5a6991343d312ef355521519401c10884d8db5f,-0.0165524038855549,-0.016804926085864702,-0.01330217956583124,-0.016956417575599847,-0.016956417575599847,-0.015903981778212672,0.09543489046286406,0.11135066387923753,0.08554386821677232,0.1156815133665539,0.09397697657158244,0.05130420397575948,0.0745607892889651,0.1292477395191119
R1_m-5fc9bfd56138.json,R1,m-5fc9bfd56138,r-05cbd60ed1,complete,,88001,104578,gru,direct,96,1,0.1,gelu,8,2,0.11936354143487231,-0.02080155842706115,0.9382454438307419,1.0103137443405932,-0.23406956176371674,0.04895273003696421,5,0.3164291964613516,0.10217558592557907,0.059047967195510864,0.08928365260362625,90.0,10.125274932943285,2.509929500054568,2400,600,50,5,99a8c93f8eb2a54438822b3cb263a95e748b4edd2d1a54e11d78f8bc6b72d5e1,-0.04417818820374131,-0.038757805163047054,-0.037731421262487075,-0.047761268396091294,-0.047761268396091294,-0.04210717075634168,0.1624135281005871,0.16891883898831495,0.09885884847564294,0.1629178818760443,0.09089654212100004,-0.10886358388098709,0.08663524703934182,0.17321102621218068
R1_m-6d253ca36751.json,R1,m-6d253ca36751,r-05cbd60ed1,complete,,88001,17442,mlp,antisymmetric,32,1,0.0,gelu,8,2,0.09220506172274272,-0.002391305150645362,0.952762546602256,1.0011781329760132,-0.019572818486428556,0.05074934983029444,5,0.1579212150411132,0.2746298909187317,0.0,0.0,66.0,14.116944931447504,4.324538700282574,2400,600,50,5,f4bf11223f8fca6f31cdf16720ad5dca67157cc9416f08afc8d1171510af87f3,-0.020322545997377706,-0.020099401712288856,-0.02228562200885631,-0.02094848432967522,-0.02228562200885631,-0.020914013512049523,0.08991740139285634,0.11069695423856882,0.08345350333349248,0.11186240347779682,0.09285796664630126,0.04762770893280135,0.07418200461448818,0.12327512097120093
R1_m-6dfc56db5077.json,R1,m-6dfc56db5077,r-05cbd60ed1,complete,,88001,49250,gru,direct,64,1,0.1,gelu,8,2,0.12435004334953677,-0.01543760640890024,0.9355889460762729,1.0076552823357992,-0.15287100780930651,0.06042242972443279,5,0.25348561352711724,0.11575950682163239,0.04300566017627716,0.06516677886247635,88.0,13.720904942601907,4.186065600253642,2400,600,50,5,6d9a0f15537931a3272ccda610b0edb8b9ef108b1af3c74e6c3afc51030d0ff7,-0.035883432610144705,-0.03871668873725698,-0.03994925938549243,-0.03368570851920172,-0.03994925938549243,-0.03705877231302396,0.15705238359367243,0.1583881646165825,0.11687168403274499,0.15462445022895704,0.10056986311094526,-0.02657044938319215,0.09717372506109656,0.16974813524337548
R1_m-820c8a3f6eba.json,R1,m-820c8a3f6eba,r-05cbd60ed1,complete,,88001,17698,mlp,direct,32,1,0.0,silu,8,2,0.108213559789085,-0.012403141455013245,0.9442424494656041,1.006161332220887,-0.047348935608454434,0.054497745901104566,5,0.18152311866487514,0.25249165296554565,0.022821560502052307,0.03202270343899727,86.0,9.920329973101616,3.7527648999821395,2400,600,50,5,0de8dbab297c95338bec8bd55d0329b68d30510b14fd46d652a05059c2355e44,-0.029420842097045208,-0.03006748975939799,-0.028472205479169288,-0.030017761175637148,-0.03006748975939799,-0.02949457462781241,0.12233663579103485,0.12740805157175786,0.09991657676083196,0.12889789154688153,0.09996373388999899,0.04069407172131782,0.08904535821174542,0.14067246145779272
R1_m-8702027339db.json,R1,m-8702027339db,r-05cbd60ed1,complete,,88001,103810,gru,antisymmetric,96,1,0.1,silu,8,2,0.12295659666900745,-0.003214665831428931,0.9364039656859415,1.0015703541032652,-0.11579739927046862,0.05232688728996571,5,0.34126138658053107,0.09268403053283691,0.0,0.0,90.0,12.270529894158244,3.826670799870044,2400,600,50,5,73a499a4da362ddd97ba0a57a2923d9510ef4777ed6ff31f33440e46978e0ea7,-0.030939237690018828,-0.029706669638589034,-0.033623432958030275,-0.034597792916486014,-0.034597792916486014,-0.03221678330078104,0.14330180708146295,0.16379743668493454,0.10480180513138822,0.162502984147831,0.10343011971143681,-0.0245416852803378,0.09062527555770253,0.1769692060801945
R1_m-8a2cdaf6658d.json,R1,m-8a2cdaf6658d,r-05cbd60ed1,complete,,88001,108258,transformer,direct,64,2,0.0,gelu,8,2,0.1275902485340179,-0.015459812164629771,0.933830060610779,1.0076537180937957,-0.15821786961430018,0.05774924768624634,5,0.2890305451297477,0.09067317098379135,0.04503512755036354,0.06672942638397217,94.0,12.29601992527023,3.9118230999447405,2400,600,50,5,39d9fab1b1fd062dc3788f318a2a47c9c2c14ea8724af8dceb9a24ef2539a782,-0.04524664833699177,-0.04573383231167649,-0.04688966521550042,-0.04313835004424171,-0.04688966521550042,-0.0452521239771026,0.1611065393628101,0.16403689224050563,0.11792580451807097,0.16411867510413708,0.10156210557662657,-0.04961727539911054,0.09939262961255495,0.17459132663641058
