rung,candidate_id,encoder,paired_head,width,depth,dropout,activation,fold,status,overall_improvement,h4_improvement,overall_nrmse,h4_nrmse,worst_condition_improvement,worst_network_improvement,action_permutation_degradation,effective_rank_fraction,equal_action_max_abs,swap_antisymmetry_max_abs,peak_vram_mib,p95_batch1_ms,n_epochs,final_train_loss,corr_mcar,corr_burst,corr_spatial,corr_mnar,cond_demand_shock,cond_emergency_vehicle,cond_lane_closure,cond_normal,cond_packet_loss,cond_sensor_delay_noise,net_cologne8,net_moscow
R1,m-17bdc0534018,mlp,shared_branch,64,1,0.0,gelu,0,complete,0.1583696741272046,-0.018619333338668387,0.9174041235316066,1.00926673052205,-0.12175248175815412,0.13818067725265815,0.37209808243644815,0.2198934406042099,0.0,0.0,88.0,10.639460105448961,3,0.0025196921778842807,-0.012086951197735507,-0.012946498795946892,-0.012058979420828564,-0.011458691268523502,0.1798963250786716,0.22689684953795808,0.08577966437201578,0.16341137759665814,0.22396549305675928,-0.12175248175815412,0.13818067725265815,0.18378031185202026
R1,m-17bdc0534018,mlp,shared_branch,64,1,0.0,gelu,1,complete,0.14184844379649275,0.01550482906246986,0.9263646993509129,0.9922173002611526,0.08780778719279825,0.12199334309550203,0.38042854139938287,0.19981501996517181,0.0,0.0,88.0,8.822105021681637,3,0.0023281173198483884,0.012885022287608683,0.014873919818146453,0.014199015424710804,0.012609467464378188,0.17441978072709352,0.13836700115508216,0.08780778719279825,0.15092791595267263,0.1784882261935068,0.1804924782384928,0.12199334309550203,0.18402621902976668
R1,m-17bdc0534018,mlp,shared_branch,64,1,0.0,gelu,2,complete,0.10329915752761265,0.007296675310155765,0.946942892930924,0.9963449827694442,-0.13609591678267807,0.07165248325721085,0.3405335942939345,0.21491841971874237,0.0,0.0,88.0,7.296999997925012,3,0.002334460965357721,0.0032305495553138774,0.00013806241993252755,0.004199683822194156,0.0018123084390044841,0.0682115202731074,0.24055965033087878,0.15663668825414523,0.15786236380366225,-0.011527588112350662,-0.13609591678267807,0.07165248325721085,0.15226017083210253
R1,m-17bdc0534018,mlp,shared_branch,64,1,0.0,gelu,3,complete,0.11680077634104913,-0.02648638696976735,0.9397867969167001,1.0131566448332494,-0.048785447537417426,0.06866720089195888,0.3306713545198905,0.23021483421325684,0.0,0.0,88.0,9.147045109421013,3,0.0023221460869535804,-0.020687024956387745,-0.02582478053141002,-0.024686946422848965,-0.023406994305903206,0.14892128258659953,0.18477030602835876,0.1280422225771789,0.12821330464034675,0.0687873799787182,-0.048785447537417426,0.06866720089195888,0.19839301620004157
R1,m-17bdc0534018,mlp,shared_branch,64,1,0.0,gelu,4,complete,0.10003209125081036,0.01382922741028414,0.9486663843254853,0.9930613136104517,-0.07098819348802188,0.06442233579173728,0.32689386490445527,0.23625074326992035,0.0,0.0,88.0,10.680644935928283,3,0.002362639963394031,0.012260124080397339,0.014034008699325362,0.014302236074534291,0.012739929761244273,0.16358282225926346,0.040949286793108275,0.05540122675595072,0.22332493542334442,0.06711738294523295,-0.07098819348802188,0.06442233579173728,0.15985717559450785
R1,m-1d3d20efeb7e,transformer,antisymmetric,32,2,0.0,silu,0,complete,0.11257962890334194,-0.0034618924304665732,0.9420299204890776,1.0017294507153447,-0.012573639221954869,0.10460847108925242,0.18476766546771417,0.2231317013502121,0.0,0.0,90.0,12.315485114231706,3,0.0025862299953587353,-0.002980134034335391,-0.004385098482517558,-0.0036352321176928992,-0.002652247841166133,0.10878397155626163,0.1404682347652727,0.07873864124810803,0.12037742221333181,0.16102575796997687,-0.012573639221954869,0.10460847108925242,0.12261243066758087
R1,m-1d3d20efeb7e,transformer,antisymmetric,32,2,0.0,silu,1,complete,0.11117886431229962,0.0077527081341277615,0.9427731093363346,0.9961161036073417,0.07006716610512809,0.09295942533534252,0.20427897558442076,0.1755228489637375,0.0,0.0,90.0,8.80072001600638,3,0.002391533984337002,0.007580280641917514,0.0073046115513767385,0.008430283916696535,0.008250933802925742,0.14413065046142737,0.10524508240562269,0.07006716610512809,0.11199071412714146,0.1380103107093359,0.16429551551395394,0.09295942533534252,0.1498820375481883
R1,m-1d3d20efeb7e,transformer,antisymmetric,32,2,0.0,silu,2,complete,0.08427877474658396,-0.005545470100197347,0.9569332397055795,1.0027689016419472,0.033135880347614166,0.06823854016673836,0.13694027532318742,0.1689990758895874,0.0,0.0,90.0,13.086184835992752,3,0.002416563220322132,-0.0054127166942055105,-0.006091755651464359,-0.006525069469435207,-0.004966378770540292,0.03597395374952339,0.1419280107853843,0.1315094434381734,0.1107615739790756,0.033135880347614166,0.05272557571222969,0.06823854016673836,0.10909484647534284
R1,m-1d3d20efeb7e,transformer,antisymmetric,32,2,0.0,silu,3,complete,0.07800158812364022,-0.020933392824174613,0.9602074837639831,1.0104124864747934,-0.015200806851787707,0.049280891116098346,0.13909560215903483,0.22375459969043732,0.0,0.0,90.0,14.773560129106041,3,0.0024025817401707172,-0.021922520772532872,-0.023703821110675483,-0.019813541811943836,-0.02155607081690758,0.08790475195065872,0.11844088191601365,0.08281005838398603,0.08363801033470064,0.06192583565179144,-0.015200806851787707,0.049280891116098346,0.12668664792426465
R1,m-1d3d20efeb7e,transformer,antisymmetric,32,2,0.0,silu,4,complete,0.09039883377035351,0.009970515820389103,0.9537301328099298,0.9950022533540368,0.04261736792139814,0.05895071745927705,0.17639280257326484,0.20319098234176636,0.0,0.0,90.0,12.099570024292916,3,0.0024271056172437966,0.010017376249260579,0.01035497751014014,0.010082273462068803,0.010269647840497997,0.10600138058457143,0.05877936077710788,0.06299746747813728,0.1574696346353348,0.08224188653117659,0.04261736792139814,0.05895071745927705,0.1432322831020365
