file,rung,candidate_id,recipe_id,status,error,model_seed,parameter_count,encoder,paired_head,width,depth,dropout,activation,action_dim,max_actions,overall_improvement,h4_improvement,overall_nrmse,h4_nrmse,worst_condition_improvement,worst_network_improvement,groupcv_folds,action_permutation_degradation,effective_rank_fraction,equal_action_max_abs,swap_antisymmetry_max_abs,peak_vram_mib,p95_batch1_ms,wall_seconds,train_rows,tune_rows,n_train_clusters,n_folds_recorded,model_sha256,corr_mcar,corr_burst,corr_spatial,corr_mnar,corr_min,corr_mean,cond_demand_shock,cond_emergency_vehicle,cond_lane_closure,cond_normal,cond_packet_loss,cond_sensor_delay_noise,net_cologne8,net_moscow,F0_structural,F1_h4_ge_0.05,F2_overall_ge_0.10,F3_permutation_ge_0.05,F5proxy_corruption_pos,F7_resources
R1_m-33a7ca0821c8.json,R1,m-33a7ca0821c8,r-05cbd60ed1,complete,,88001,49250,tcn,direct,64,2,0.0,silu,8,2,0.1227994805375868,-0.0170467984239687,0.9363991351918528,1.0084447288197684,-0.1797111261282034,0.0481856379095951,5,0.2961968018461879,0.1676889806985855,0.0384106114506721,0.0600486770272254,70.0,13.834949990268797,14.289500400191171,2400,600,50,5,bab307d2f14f4d78359981bd20c13eeccb30a0492b0719c1ea985b40c652474b,-0.0374722994563287,-0.0437497346562474,-0.0427517505209267,-0.0428949821244812,-0.0437497346562474,-0.041717191689496,0.1528072637027532,0.1623080561738013,0.111093253544664,0.160650857700194,0.1015532901280592,-0.0563302311640889,0.091542859658288,0.1758864371386075,False,False,True,True,False,True
R1_m-341bbd30e225.json,R1,m-341bbd30e225,r-05cbd60ed1,complete,,88001,36770,tcn,direct,64,1,0.0,gelu,8,2,0.1273069109555544,-0.0131543539233642,0.9339753423537192,1.006508329498055,-0.1566071644206106,0.0570022041611411,5,0.29198139863752,0.1489724218845367,0.0478843711316585,0.0563753433525562,88.0,12.411354994401336,4.111879400210455,2400,600,50,5,20ada9f36127c2ebad707262a908058e918f01cc43e19598d021624cd54a397f,-0.0396768655530093,-0.0403451185813952,-0.0421202618532137,-0.0397015267885438,-0.0421202618532137,-0.0404609431940405,0.1590053332436951,0.1667643514682507,0.115895347652446,0.1638976331066738,0.1037939613538489,-0.0450586822159766,0.0956890593683167,0.1803721198383905,False,False,True,True,False,True
R1_m-34201a1c5918.json,R1,m-34201a1c5918,r-05cbd60ed1,complete,,88001,29570,transformer,direct,32,2,0.1,gelu,8,2,0.1057330395064728,-0.0107798403850143,0.9456044108860296,1.0053425398907996,-0.0129381265454315,0.0599907900498983,5,0.166038671264429,0.1350607722997665,0.0240937285125255,0.0394355244934558,70.0,13.685475091915576,4.263852999778464,2400,600,50,5,2d99ab29857e5e00e62455bf273f29dd64a05fe6eae9f7fffe3fc028d1a80eca,-0.029870776794886,-0.0302678842480728,-0.0301178178590397,-0.0309685842400251,-0.0309685842400251,-0.0303062657855059,0.1219631444775085,0.1240204584155931,0.095571852217934,0.1224881448168114,0.0961587220612178,0.0492136673490295,0.0886328504669287,0.1357236870690139,False,False,True,True,False,True
R1_m-370cab3d4b82.json,R1,m-370cab3d4b82,r-05cbd60ed1,complete,,88001,36258,tcn,antisymmetric,64,1,0.1,silu,8,2,0.1178247526207891,-0.0043851269672464,0.9391497458026108,1.002157729189189,-0.1011388160183799,0.0542567162304462,5,0.301626258780499,0.1457187831401825,0.0,0.0,88.0,13.54242502711713,4.57114029978402,2400,600,50,5,81f9bae86b1fa2790ee5af0b699046ae28f412baa357e928eb2f30633655943d,-0.0333233024074137,-0.0301673272304106,-0.03269030250308,-0.034669498923842,-0.034669498923842,-0.0327126077661866,0.130156533570534,0.155609415695512,0.1024545152931309,0.1537003501962223,0.1059454303038116,-0.0136995008724629,0.0902398600202001,0.1641770393716636,True,False,True,True,False,True
R1_m-37ecfeb87e50.json,R1,m-37ecfeb87e50,r-05cbd60ed1,complete,,88001,49378,mlp,antisymmetric,64,2,0.0,silu,8,2,0.1163432813187162,-0.0030537426135849,0.9399545034741502,1.0014956202962932,-0.0835272997469618,0.0541205711696874,5,0.283694722096697,0.1882630288600921,0.0,0.0,88.0,10.971579956822096,3.2766136000864208,2400,600,50,5,1ae3e39950f2fa5431b902dc2a92c8b6550d41a00810ebc530fc9fbf16a3805d,-0.031564623665454,-0.0307714891633885,-0.0264980532341665,-0.0312145471358822,-0.031564623665454,-0.0300121782997228,0.1294631374165171,0.1519960543489697,0.1021219265235415,0.1526067495941359,0.1030629444386358,-0.0135422525752863,0.0875811588528811,0.1641231714592677,True,False,True,True,False,True
R1_m-393f58cc75db.json,R1,m-393f58cc75db,r-05cbd60ed1,complete,,88001,29058,transformer,shared_branch,32,2,0.0,gelu,8,2,0.1090742939541212,-0.0025094542799692,0.9438686132908308,1.0012337126666555,-0.0277490267147766,0.0659244296709903,5,0.2316930953015196,0.1282489895820617,0.0,0.0,90.0,14.026040025055403,5.277071999851614,2400,600,50,5,a242c27b3a7a11146c1536a93db22ad8c151a29618185324dd7c90b93b5ffff7,-0.0258341636053962,-0.0274759638501114,-0.017346170783667,-0.0245821274021307,-0.0274759638501114,-0.0238096064103263,0.1173377067067431,0.1327605418638018,0.1015614414003355,0.1407008033564348,0.0964325157109385,0.022255145731608,0.0849724810929111,0.1503221863071822,True,False,True,True,False,True
R1_m-39a8d671864f.json,R1,m-39a8d671864f,r-05cbd60ed1,complete,,88001,29058,transformer,shared_branch,32,2,0.1,gelu,8,2,0.1066415571602718,-0.0017077817987018,0.9451545069455476,1.0008353235387648,-0.0343122352479541,0.06251008709628,5,0.2256257197948419,0.128179982304573,0.0,0.0,90.0,13.22080489480868,3.996083700330928,2400,600,50,5,e8f229835b05d2c2104a158046c62a10c6516c7af00b285f81547f43d176e1ec,-0.023893198905265,-0.0229482222651047,-0.0156233635471842,-0.0224421749407024,-0.023893198905265,-0.0212267399145641,0.1138486608840039,0.1309155656903808,0.0996395371356439,0.1372705372686345,0.0958286910027154,0.0178311322470783,0.0823550499916079,0.1481889378133062,True,False,True,True,False,True
R1_m-40baf05fcce1.json,R1,m-40baf05fcce1,r-05cbd60ed1,complete,,88001,160450,gru,direct,96,2,0.1,silu,8,2,0.1237388926118191,-0.0160903779017652,0.9358637795677718,1.0079641976957698,-0.2897774202341754,0.0418529035723796,5,0.3242225902069637,0.0868184566497802,0.0503033846616745,0.0748430788516998,90.0,14.382120058871802,4.402215600013733,2400,600,50,5,720409d195c21d6b6801729ac7c6a325ebc6f27e4416281386ecffc5836f98da,-0.0419661543978964,-0.0378636935489185,-0.0429147450416707,-0.0433618237750306,-0.0433618237750306,-0.041526604190879,0.167046893588424,0.1714865719516382,0.1067427069966416,0.1659777708631585,0.0942055426364757,-0.1050245782214047,0.0898014330242969,0.1797011752988013,False,False,True,True,False,True
R1_m-4170eff5a849.json,R1,m-4170eff5a849,r-05cbd60ed1,complete,,88001,66530,transformer,direct,64,1,0.0,silu,8,2,0.1270055832670385,-0.0147749689971526,0.9341307221769236,1.007319168114132,-0.1586210430541956,0.0552414664427876,5,0.2944446483766146,0.1230934560298919,0.0496426187455654,0.0665663331747055,90.0,11.4361900719814,4.413687500171363,2400,600,50,5,9e547618508c32d332d8591ac6c6244a535507e7bb5f5b9d481ba9c905435a2f,-0.0424710723222254,-0.0434203862556854,-0.0447089889896548,-0.039990754722327,-0.0447089889896548,-0.0426478005724731,0.1590749114906274,0.1646679584402149,0.114827739231974,0.1671908449945604,0.1019440180908046,-0.0548709590780815,0.0979118942591236,0.1752007098412095,False,False,True,True,False,True
R1_m-45998a000855.json,R1,m-45998a000855,r-05cbd60ed1,complete,,88001,236098,transformer,direct,96,2,0.0,gelu,8,2,0.1348740825186531,-0.0181079551176568,0.9299310488087792,1.0089771897791648,-0.1983275540012217,0.0675504404257417,5,0.2934729642223649,0.0748898461461067,0.0634887218475341,0.1092848926782608,98.0,14.002505026292054,4.80611989996396,2400,600,50,5,2fc696e10e3fc1ce0aa4b12b2e1160ae751bd62c01d6d83e87e45a9e743c1744,-0.0408816996180925,-0.0393043639796464,-0.0327454679720597,-0.0476000821932158,-0.0476000821932158,-0.0401329034407536,0.1758838494117403,0.1757318536648953,0.120103673353369,0.1735363659456164,0.1048153640101422,-0.0602490408873924,0.1010754603194534,0.18979873178433,False,False,True,True,False,True
