block,stratifier,scheme,stratum,rows,clusters,measure_median,incumbent_cost_median,gain_h4_mean,numerator_pp,numerator_lo,numerator_hi,denominator_pp,denominator_lo,denominator_hi,factor,factor_lo,factor_hi,den_sign_flip_rate,factor_fieller_kind,factor_fieller_lo,factor_fieller_hi
validation,policy_disagreement,within_network_tercile,T1,600,274,0.0222956528887152,2081.5,-110.4675,25.51943951832284,21.017650611352533,30.20300583056838,0.12022923718959522,-2.069683873435882,2.3409931766492247,212.25652025122656,-310.83770069523337,371.96872872852737,0.4715,unbounded,-400.0,400.0
validation,policy_disagreement,within_network_tercile,T2,600,272,0.12819788604974747,1761.25,-69.97666666666667,16.097364359182553,11.576813024812417,21.219087487760575,0.7378759423425252,-1.1421353659813493,2.758475538355005,21.815814062291366,-237.42449703170215,226.72581189583994,0.2225,unbounded,-400.0,400.0
validation,policy_disagreement,within_network_tercile,T3,600,275,0.3539025634527206,1689.792773152502,13.939166666666667,6.173802558977282,-0.6452487776471096,12.360162121773179,0.5898754327757327,-2.4397419351488807,3.6604073492117974,10.466281889255296,-72.04215865979064,58.69427390928005,0.3415,unbounded,-400.0,400.0
validation,policy_disagreement,global_tercile,T1,600,225,0.0222956528887152,7624.75,-153.7,22.66318657446228,19.00788081367594,26.83317481735406,0.27292067270263676,-1.6522515818211527,2.1406727042283578,83.03946472810861,-284.1002855707655,344.55192829812313,0.391,unbounded,-400.0,400.0
validation,policy_disagreement,global_tercile,T2,600,263,0.123332355171442,1370.0,-32.604166666666664,14.15694231417788,7.10517228452089,20.839620076460143,0.675639398974992,-2.1277614102319475,3.5366414518652545,20.953399602887693,-177.2271387490894,125.212715368197,0.3145,unbounded,-400.0,400.0
validation,policy_disagreement,global_tercile,T3,600,239,0.35464775562286377,1395.3543503890055,19.799166666666668,4.235269305976197,-1.4775232727505079,9.865113121042832,0.7179760589684836,-2.4796156219938323,4.225513122093432,5.898900462030739,-44.25709003389167,34.70865967501701,0.32,unbounded,-400.0,400.0
validation,severity,within_network_tercile,T1,600,300,0.0,1393.8654302283092,-54.468333333333334,17.40524036719964,11.861324140091407,22.786362493914353,1.9644151462258508,-0.22895409762174823,4.26079276312662,8.860265815318927,-52.74848486594629,80.0960062791476,0.045,unbounded,-400.0,400.0
validation,severity,within_network_tercile,T2,600,300,0.3,1678.6606709685827,-47.475833333333334,20.99450774959346,16.09570526940739,25.563821924498964,-0.851521133784694,-3.135409894729277,1.5799155455889693,-24.65529852005047,-226.06816917025677,217.2030665617273,0.751,unbounded,-400.0,400.0
validation,severity,within_network_tercile,T3,600,300,0.8,2394.0,-64.56083333333333,12.121102330382937,8.532641758727632,16.049111094100116,0.716572944727667,-1.425214484306183,2.960936315374579,16.91537814756536,-126.86783494582878,151.4939325778353,0.271,unbounded,-400.0,400.0
validation,severity,global_tercile,T1,600,300,0.0,1306.0121937605832,-55.354166666666664,23.365631477424742,18.19400967158261,28.150664674241643,0.17045203007728382,-2.2576414662775552,2.6235412385631305,137.080394213144,-344.7824123873491,270.3338219219542,0.446,unbounded,-400.0,400.0
